datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-19 13:18:48.094646,0x433acb14,31.738941,24.778002,972.3162,121.228455,127,,,5.0,-27,,3,2
2025-10-19 13:24:48.218287,0x433acb14,32.772938,25.279995,972.22394,190.30823,147,,,4.75,-24,,3,2
2025-10-19 13:30:49.984250,0x433acb14,31.877136,25.591957,972.12054,263.8588,115,,,-0.5,-104,,3,2
2025-10-19 13:44:28.353034,0x433b0b38,29.431767,31.269491,974.6678,537.3917,46,,,5.0,-24,,5,5
2025-10-19 13:45:29.092311,0x433b0b38,29.53296,31.185745,974.6722,528.2435,50,,,6.0,-24,,5,5
2025-10-19 13:47:30.020556,0x433aafcc,29.703735,29.340107,975.0992,315.90598,97,,,2.0,-99,,5,5
2025-10-19 13:47:33.568716,0x433b0b38,29.615204,31.057995,974.7122,532.7784,50,,,4.75,-23,,5,5
2025-10-19 13:47:54.688395,0x433acb14,32.147873,26.15014,971.9111,406.46512,64,,,2.0,-101,,3,2
2025-10-19 13:49:24.043906,0x433b0098,27.629723,31.965519,968.86,148.28645,47,,,0.25,-103,,2,2
2025-10-19 13:49:31.710018,0x433b0b38,29.447538,31.280024,974.6664,545.1158,50,,,5.0,-23,,5,5
2025-10-19 13:50:30.479884,0x433b0b38,29.458353,30.978909,974.6447,556.673,48,,,4.5,-23,,5,5
2025-10-19 13:51:29.147063,0x433b0b38,29.53576,31.078201,974.58887,556.2194,50,,,5.75,-23,,5,5
2025-10-19 13:52:26.974074,0x433b0098,27.63226,31.772827,968.82623,157.8578,41,,,4.75,-23,,2,1
2025-10-19 13:53:30.055114,0x433b0b38,29.432829,31.5987,974.6224,558.4947,50,,,5.5,-25,,5,5
2025-10-19 13:54:30.163579,0x433b0b38,29.442926,31.424492,974.5756,557.5824,50,,,5.0,-23,,5,5
2025-10-19 13:56:30.448471,0x433b0b38,29.376072,30.66729,974.5727,582.81165,48,,,4.75,-26,,5,5
2025-10-19 13:56:57.378992,0x433acb14,31.841007,25.905851,971.8365,467.6322,51,,,5.75,-25,,3,2
2025-10-19 13:58:29.252123,0x433b0b38,29.500668,30.712238,974.53876,594.48474,49,,,5.5,-23,,5,5
2025-10-19 13:58:49.271378,0x433acb14,32.648396,25.550995,971.83704,477.22977,47,,,2.75,-100,,3,2
2025-10-19 13:59:52.041046,0x433aad0c,29.732754,29.506239,969.476,163.41464,218,,,5.25,-23,,3,1
2025-10-19 14:01:30.727630,0x433b0b38,29.561321,31.321072,974.52234,597.60724,50,,,5.0,-24,,5,5
2025-10-19 14:01:49.578019,0x433acb14,33.6885,25.186735,971.8232,485.82535,48,,,4.75,-23,,3,2
2025-10-19 14:02:30.376988,0x433b0b38,29.535042,31.553707,974.4814,601.2918,49,,,5.5,-23,,5,5
2025-10-19 14:03:30.587168,0x433b0b38,29.64368,31.49887,974.4732,595.5219,51,,,5.25,-23,,5,5
2025-10-19 14:04:31.042902,0x433b0b38,29.678616,31.706915,974.42694,590.3719,51,,,5.25,-22,,5,5
2025-10-19 14:05:31.246514,0x433b0b38,29.748537,31.751722,974.41364,583.30963,53,,,5.5,-23,,5,5
2025-10-19 14:06:53.156788,0x433acb14,32.457626,25.024525,971.68274,529.71375,49,,,4.75,-23,,3,2
2025-10-19 14:07:50.455800,0x433acb14,31.77989,25.173098,971.7246,533.4854,50,,,-5.25,-110,,3,2
2025-10-19 14:08:30.222757,0x433aafcc,31.232567,28.002998,974.83594,375.13943,71,,,4.75,-24,,5,4
2025-10-19 14:08:49.164028,0x433acb14,32.040512,25.853958,971.71655,537.7397,49,,,-0.75,-104,,3,3
2025-10-19 14:09:49.798802,0x433acb14,31.598223,25.810274,971.6856,546.01263,49,,,0.75,-102,,3,2
2025-10-19 14:11:51.051512,0x433acb14,32.002617,25.21675,971.69727,559.6063,49,,,5.0,-23,,3,2
2025-10-19 14:12:52.146717,0x433acb14,32.64592,25.5571,971.6924,556.37427,49,,,2.0,-99,,3,2
2025-10-19 14:13:51.440713,0x433acb14,32.96687,23.99176,971.68726,570.0132,49,,,2.5,-99,,3,2
2025-10-19 14:14:53.284090,0x433acb14,32.875862,24.237123,971.6516,578.3238,49,,,2.5,-99,,3,2
2025-10-19 14:15:51.449386,0x433acb14,32.82069,24.716972,971.6212,580.81445,49,,,2.0,-100,1760908550,3,2
2025-10-19 14:16:51.834156,0x433acb14,32.989983,24.683659,971.64526,582.3192,49,,,2.0,-101,1760908610,3,2
2025-10-19 14:19:52.375753,0x433acb14,33.31523,23.974525,971.6346,597.80646,50,,,3.75,-97,1760908791,3,2
2025-10-19 14:21:53.699645,0x433acb14,33.755272,23.54168,971.5958,606.95374,49,,,2.25,-100,1760908912,3,2
2025-10-19 14:22:53.083658,0x433acb14,34.220787,23.597006,971.5702,605.3193,49,,,3.5,-98,1760908972,3,2
2025-10-19 14:28:24.111705,0x433ad35c,29.593042,31.502768,968.533,174.04245,146,,,-6.75,-111,1760909303,3,2
2025-10-19 14:29:30.956018,0x433aafcc,31.087387,27.445389,974.61957,453.01163,51,,,3.5,-98,1760909369,5,5
2025-10-19 14:37:28.958792,0x433ad35c,29.214468,30.301613,968.4273,224.18604,120,,,3.5,-98,1760909847,3,
2025-10-19 14:38:51.554046,0x433acb14,32.62718,24.856108,971.3862,683.20734,50,,,3.0,-98,1760909930,3,2
2025-10-19 15:02:51.943577,0x433acb14,32.872826,24.7572,971.3972,802.13904,49,,,4.0,-97,1760911370,3,2
2025-10-19 15:06:10.151383,0x433acb14,33.37597,24.117311,971.39386,809.83813,50,,,0.25,-103,1760911569,3,3
2025-10-19 15:08:32.745686,0x433aafcc,31.456408,27.167055,974.5246,587.001,50,,,1.75,-100,1760911711,5,4
2025-10-19 15:14:09.995448,0x433acb14,31.045403,27.271833,971.3472,836.4312,50,,,2.25,-100,1760912048,3,3
2025-10-19 15:15:30.436354,0x433b0b38,28.422338,34.64879,973.73505,610.4322,,,,-6.75,-111,1760912129,5,5
2025-10-19 15:15:52.104188,0x433acb14,30.8081,28.209772,971.31726,830.7693,50,,,2.75,-100,1760912150,3,2
2025-10-19 15:18:29.473574,0x433b0b38,29.11525,33.775436,973.64624,622.6817,,,,-6.25,-111,1760912308,5,5
2025-10-19 15:24:37.781226,0x433b0b38,29.023836,33.49791,973.7355,701.3699,,,,-3.25,-107,1760912676,5,4
2025-10-19 15:26:32.905784,0x433aafcc,32.72839,27.874084,974.5346,585.4549,50,,,3.75,-97,1760912791,5,5
2025-10-19 15:29:03.350697,0x433b0098,27.231842,35.27191,968.3355,248.44806,50,,,-0.75,-105,1760912942,2,2
2025-10-19 15:32:39.346319,0x433b0b38,29.355614,33.10572,973.74396,766.46704,,,,2.0,-102,1760913158,5,4
2025-10-19 15:35:23.534332,0x433b0098,27.287659,34.984833,968.31573,256.71365,50,,,2.75,-98,1760913322,2,1
2025-10-19 15:35:47.211475,0x433aad0c,29.84935,31.688332,968.90015,412.91214,106,,,2.75,-99,1760913346,3,1
2025-10-19 15:36:54.480010,0x433acb14,29.803333,30.75889,971.1999,817.6863,52,,,-6.5,-111,1760913413,3,2
2025-10-19 15:41:34.042590,0x433b0b38,29.653437,33.167274,973.65155,821.8299,,,,3.5,-98,1760913692,5,4
2025-10-19 15:44:35.145606,0x433b0b38,29.172634,33.62783,973.7197,835.9184,,,,-0.25,-103,1760913873,5,4
2025-10-19 15:45:52.860286,0x433acb14,28.385885,33.63671,971.2588,793.1845,54,,,3.75,-97,1760913951,3,2
2025-10-19 15:47:51.609861,0x433acb14,27.723042,33.702873,971.2163,793.1845,55,,,1.75,-101,1760914070,3,3
2025-10-19 15:50:52.727747,0x433acb14,27.714922,34.751232,971.16797,785.3404,55,,,3.0,-99,1760914251,3,2
2025-10-19 15:56:47.244989,0x433aad0c,29.264164,34.77548,968.8331,407.8797,103,,,3.75,-98,1760914605,3,1
2025-10-19 15:56:53.006881,0x433acb14,27.219587,36.46986,971.1165,757.1509,57,,,3.5,-98,1760914611,3,2
2025-10-19 15:57:52.527988,0x433acb14,27.112143,36.35278,971.1069,745.93536,57,,,2.0,-100,1760914671,3,3
2025-10-19 16:00:52.774253,0x433acb14,26.845963,38.374718,971.084,723.5253,59,,,2.25,-100,1760914851,3,3
2025-10-19 16:02:36.678685,0x433b0098,26.743347,39.925175,968.18207,238.79266,57,,,2.0,-100,1760914955,2,
2025-10-19 16:03:52.934706,0x433acb14,26.671638,40.126038,971.11676,687.38586,61,,,,-104,1760915031,3,3
2025-10-19 16:06:33.200938,0x433b0b38,28.46862,39.994114,973.5581,754.18896,19,,,3.75,-98,1760915191,5,4
2025-10-19 16:10:53.447302,0x433acb14,25.684006,44.302113,971.1222,593.5965,70,,,4.0,-97,1760915452,3,2
2025-10-19 16:11:51.145453,0x433b0098,26.196695,42.80756,968.27094,216.36935,64,,,0.25,-104,1760915509,2,2
2025-10-19 16:13:26.089574,0x433ad35c,26.693459,43.474316,968.1403,238.4144,92,,,3.25,-98,1760915604,3,1
2025-10-19 16:19:55.253052,0x433acb14,25.431404,44.679405,971.0981,542.93524,77,,,3.75,-97,1760915993,3,2
2025-10-19 16:22:54.799929,0x433acb14,25.31577,44.788696,971.06836,535.1791,78,,,3.75,-98,1760916173,3,2
2025-10-19 16:25:53.648582,0x433acb14,25.035963,45.423214,971.0396,528.8829,79,,,1.5,-100,1760916352,3,3
2025-10-19 16:26:53.443089,0x433acb14,24.703445,45.69602,971.0025,528.0545,80,,,0.25,-102,1760916412,3,3
2025-10-19 16:27:53.902843,0x433acb14,24.632702,45.84215,970.99414,525.5851,81,,,1.75,-101,1760916472,3,3
2025-10-19 16:28:01.827762,0x433b0098,25.586382,43.07325,968.0537,232.76213,58,,,2.25,-100,1760916480,2,1
2025-10-19 16:29:51.972585,0x433acb14,24.573692,46.3772,970.99475,519.9118,81,,,1.25,-101,1760916590,3,3
2025-10-19 16:30:58.144102,0x433b0098,25.472597,43.311337,968.02295,231.94855,58,,,3.25,-99,1760916656,2,1
2025-10-19 16:31:27.364990,0x433ad35c,25.921448,44.1644,967.9936,247.88983,89,,,-1.0,-105,1760916686,3,2
2025-10-19 16:33:59.398553,0x433b0098,24.962414,43.983627,967.9763,234.07578,58,,,-0.25,-104,1760916838,2,2
2025-10-19 16:35:34.880440,0x433b0b38,26.392494,42.13317,973.3776,741.76025,53,,,2.75,-100,1760916933,5,4
