datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-19 11:25:31.182906,0x433aad0c,13,27,27,13,27,27,6.0,-86,,3,2
2024-12-19 11:25:31.190573,0x433acb14,5,10,15,5,10,15,4.0,-93,,3,3
2024-12-19 11:25:31.298375,0x433ad35c,16,28,30,16,28,30,-0.5,-103,,3,3
2024-12-19 11:25:31.563414,0x433bc2b0,14,25,27,14,25,27,6.5,-76,,3,3
2024-12-19 11:25:31.660604,0x433aafcc,13,20,22,13,20,22,1.75,-101,,5,5
2024-12-19 11:25:31.751468,0x433aad0c,16,30,30,16,30,30,5.25,-92,,3,3
2024-12-19 11:25:31.781355,0x433acb14,6,13,23,6,13,23,5.0,-96,,3,3
2024-12-19 11:25:31.935279,0x433ad35c,13,22,23,13,22,23,-4.25,-107,,3,3
2024-12-19 11:25:31.964270,0x433bc2b0,12,20,20,12,20,20,5.5,-79,,3,3
2024-12-19 11:25:43.794124,0x433aafcc,14,21,27,14,21,27,-2.5,-100,,5,5
2024-12-19 11:25:57.300158,0x433aad0c,14,23,23,14,23,23,4.0,-93,,3,3
2024-12-19 11:26:00.356116,0x433acb14,6,12,17,6,12,17,-6.0,-108,,3,3
2024-12-19 11:26:19.849094,0x433ad35c,16,28,32,16,28,32,4.5,-92,,3,3
2024-12-19 11:26:30.487691,0x433bc2b0,13,20,22,13,20,22,6.0,-77,,3,3
2024-12-19 11:26:43.598153,0x433aafcc,15,24,27,15,24,27,3.75,-95,,5,5
2024-12-19 11:26:52.361752,0x433aad0c,13,23,24,13,23,24,1.75,-99,,3,3
2024-12-19 11:26:59.799856,0x433acb14,6,8,8,6,8,8,2.75,-97,,3,3
2024-12-19 11:27:19.033675,0x433ad35c,13,22,24,13,22,24,,-101,,3,3
2024-12-19 11:27:30.357324,0x433bc2b0,16,29,34,16,29,34,6.0,-76,,3,3
2024-12-19 11:27:43.847575,0x433aafcc,11,17,19,11,17,19,4.0,-94,,5,5
2024-12-19 11:27:53.118589,0x433aad0c,14,20,20,14,20,20,1.75,-94,,3,3
2024-12-19 11:28:00.366631,0x433acb14,3,5,5,3,5,5,4.75,-84,,3,3
2024-12-19 11:28:32.701720,0x433bc2b0,12,19,22,12,19,22,5.0,-77,,3,3
2024-12-19 11:28:45.677012,0x433aafcc,16,27,29,16,27,29,0.5,-89,,5,5
2024-12-19 11:28:53.416832,0x433aad0c,13,20,20,13,20,20,6.5,-78,,3,3
2024-12-19 11:29:00.054636,0x433acb14,5,8,13,5,8,13,2.75,-89,,3,3
2024-12-19 11:29:19.589735,0x433ad35c,15,22,23,15,22,23,4.75,-86,,3,3
2024-12-19 11:29:33.267527,0x433bc2b0,11,20,20,11,20,20,1.75,-89,,3,2
2024-12-19 11:29:44.485060,0x433aafcc,12,25,25,12,25,25,-1.25,-94,,5,5
2024-12-19 11:29:53.855439,0x433aad0c,12,20,20,12,20,20,-2.0,-94,,3,3
2024-12-19 11:30:00.596215,0x433acb14,4,8,10,4,8,10,-6.25,-99,,3,3
2024-12-19 11:30:21.425423,0x433ad35c,16,25,26,16,25,26,-8.5,-100,,3,3
2024-12-19 11:30:32.472342,0x433bc2b0,17,28,29,17,28,29,-1.75,-93,,3,3
2024-12-19 11:30:44.419420,0x433aafcc,13,18,22,13,18,22,6.5,-74,,5,5
2024-12-19 11:31:21.084192,0x433ad35c,14,23,25,14,23,25,1.25,-95,,3,3
2024-12-19 11:31:33.179414,0x433bc2b0,13,25,28,13,25,28,0.5,-96,,3,3
2024-12-19 11:31:46.431623,0x433aafcc,15,27,29,15,27,29,6.25,-72,,5,5
2024-12-19 11:31:54.414573,0x433aad0c,14,24,24,14,24,24,-1.5,-99,,3,3
2024-12-19 11:32:01.216591,0x433acb14,4,5,9,4,5,9,6.75,-74,,3,3
2024-12-19 11:32:20.402504,0x433ad35c,13,20,23,13,20,23,3.0,-90,,3,3
2024-12-19 11:32:31.693385,0x433bc2b0,11,18,19,11,18,19,4.75,-84,,3,3
2024-12-19 11:32:46.556416,0x433aafcc,14,20,23,14,20,23,7.0,-68,,5,5
2024-12-19 11:32:54.889265,0x433aad0c,12,20,20,12,20,20,5.75,-83,,3,3
2024-12-19 11:33:00.902016,0x433acb14,5,10,13,5,10,13,6.25,-67,,3,3
2024-12-19 11:33:07.413432,0x433abf20,10,22,22,10,22,22,6.0,-69,,3,3
2024-12-19 11:33:21.816128,0x433ad35c,13,21,22,13,21,22,3.0,-88,,3,3
2024-12-19 11:33:31.808091,0x433bc2b0,11,16,20,11,16,20,5.25,-82,,3,3
2024-12-19 11:33:48.406264,0x433aafcc,15,25,27,15,25,27,6.0,-77,,5,5
2024-12-19 11:33:54.578113,0x433aad0c,15,27,29,15,27,29,5.75,-69,,3,3
2024-12-19 11:34:01.345686,0x433acb14,4,7,7,4,7,7,6.5,-71,,3,3
2024-12-19 11:34:21.220271,0x433ad35c,13,22,23,13,22,23,6.0,-56,,3,3
2024-12-19 11:34:38.028281,0x433bc2b0,12,17,23,12,17,23,4.5,-82,,3,3
2024-12-19 11:34:46.614531,0x433aafcc,15,21,24,15,21,24,5.75,-74,,5,5
2024-12-19 11:34:54.575579,0x433aad0c,59,88,92,39,58,70,6.0,-62,,3,3
2024-12-19 11:35:01.522449,0x433acb14,4,9,14,4,9,14,5.25,-81,,3,3
2024-12-19 11:35:21.216221,0x433ad35c,13,26,26,13,26,26,5.75,-50,,3,3
2024-12-19 11:35:32.760188,0x433bc2b0,13,20,25,13,20,25,3.25,-89,,3,3
2024-12-19 11:35:46.949063,0x433aafcc,15,27,27,15,27,27,5.5,-70,,5,5
2024-12-19 11:35:54.861014,0x433aad0c,13,19,21,13,19,21,5.5,-60,,3,3
2024-12-19 11:36:01.986244,0x433acb14,5,11,11,5,11,11,5.25,-68,,3,3
2024-12-19 11:37:01.916591,0x433acb14,5,12,15,5,12,15,5.5,-69,,3,3
2024-12-19 11:37:07.520749,0x433abf20,10,18,18,10,18,18,4.0,-85,,3,3
2024-12-19 11:37:23.991961,0x433ad35c,17,30,31,17,30,31,6.25,-46,,3,3
