datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-26 12:00:25.194668,0x433b0098,13.24375,62.5,7.0,-62,1769457622,2,2
2026-01-26 12:03:03.232806,0x433abf20,13.26875,60.0,5.5,-76,1769457780,3,3
2026-01-26 12:03:34.325258,0x433b0b38,13.24625,62.5,6.0,-74,1769457811,5,5
2026-01-26 12:04:46.365678,0x433acb14,13.2875,76.25,1.5,-96,1769457883,3,3
2026-01-26 12:07:41.545226,0x433ad35c,13.28,62.5,5.75,-53,1769458058,3,3
2026-01-26 12:08:04.107029,0x433abf20,13.26375,73.75,5.5,-76,1769458081,3,3
2026-01-26 12:08:35.532116,0x433b0b38,13.24625,57.5,6.25,-73,1769458112,5,5
2026-01-26 12:09:47.915631,0x433acb14,13.29,72.5,1.25,-96,1769458184,3,3
2026-01-26 12:10:26.766456,0x433b0098,13.23875,72.5,5.75,-62,1769458223,2,2
2026-01-26 12:13:06.644810,0x433abf20,13.265,68.75,5.75,-76,1769458383,3,3
2026-01-26 12:13:34.998075,0x433b0b38,13.2425,75.0,5.5,-73,1769458411,5,5
2026-01-26 12:14:50.190951,0x433acb14,13.2925,63.75,1.75,-96,1769458487,3,3
2026-01-26 12:17:43.483166,0x433ad35c,13.27875,76.25,7.0,-54,1769458660,3,3
2026-01-26 12:18:06.398240,0x433abf20,13.26875,66.25,5.75,-76,1769458683,3,3
2026-01-26 12:18:36.568174,0x433b0b38,13.24375,76.25,5.75,-73,1769458713,5,5
2026-01-26 12:19:50.032568,0x433acb14,13.29125,65.0,-1.75,-100,1769458787,3,3
2026-01-26 12:20:27.650690,0x433b0098,13.2375,71.25,6.5,-62,1769458824,2,2
2026-01-26 12:23:07.215236,0x433abf20,13.26625,70.0,5.75,-75,1769458984,3,3
2026-01-26 12:23:36.859511,0x433b0b38,13.24,75.0,5.5,-73,1769459013,5,5
2026-01-26 12:24:54.760153,0x433acb14,13.2875,73.75,2.25,-94,1769459091,3,3
2026-01-26 12:25:11.708394,0x433af380,13.20625,81.25,6.5,-40,1769459108,3,3
2026-01-26 12:27:46.017044,0x433ad35c,13.28375,63.75,7.5,-53,1769459262,3,3
2026-01-26 12:28:07.362485,0x433abf20,13.26875,62.5,5.25,-76,1769459284,3,3
2026-01-26 12:28:39.290761,0x433b0b38,13.2425,70.0,5.5,-74,1769459316,5,5
2026-01-26 12:29:52.464652,0x433acb14,13.28875,67.5,2.0,-95,1769459389,3,3
2026-01-26 12:30:31.044357,0x433b0098,13.2425,58.75,6.0,-62,1769459428,2,2
2026-01-26 12:33:09.194173,0x433abf20,13.2725,62.5,5.25,-75,1769459586,3,3
2026-01-26 12:33:40.622608,0x433b0b38,13.24625,73.75,6.0,-73,1769459617,5,5
2026-01-26 12:34:58.025917,0x433acb14,13.295,62.5,2.5,-94,1769459694,3,3
2026-01-26 12:37:48.644581,0x433ad35c,13.28,78.75,6.0,-55,1769459865,3,3
2026-01-26 12:38:10.553130,0x433abf20,13.2725,65.0,5.75,-75,1769459887,3,3
2026-01-26 12:38:40.753361,0x433b0b38,13.245,73.75,5.5,-74,1769459917,5,5
2026-01-26 12:39:58.283033,0x433acb14,13.2925,63.75,3.5,-93,1769459995,3,3
2026-01-26 12:40:32.825485,0x433b0098,13.25125,57.5,6.25,-61,1769460029,2,2
2026-01-26 12:43:11.280603,0x433abf20,13.26875,75.0,5.5,-76,1769460188,3,3
2026-01-26 12:43:43.614070,0x433b0b38,13.245,75.0,6.0,-74,1769460220,5,5
2026-01-26 12:44:56.512066,0x433acb14,13.29,73.75,3.75,-92,1769460293,3,3
2026-01-26 12:47:50.259256,0x433ad35c,13.2825,75.0,6.0,-54,1769460467,3,3
2026-01-26 12:48:12.378736,0x433abf20,13.2675,72.5,5.75,-76,1769460489,3,3
2026-01-26 12:48:44.040398,0x433b0b38,13.24875,61.25,5.5,-73,1769460520,5,5
2026-01-26 12:49:59.690255,0x433acb14,13.26625,138.75,1.75,-95,1769460596,3,3
2026-01-26 12:50:34.282721,0x433b0098,13.25125,61.25,7.0,-62,1769460631,2,2
2026-01-26 12:53:14.465703,0x433abf20,13.26375,65.0,5.5,-75,1769460791,3,3
2026-01-26 12:53:44.470887,0x433b0b38,13.2475,76.25,6.25,-74,1769460821,5,5
2026-01-26 12:55:01.267764,0x433acb14,13.2925,63.75,1.75,-95,1769460898,3,3
2026-01-26 12:57:53.658763,0x433ad35c,13.28125,77.5,6.0,-54,1769461070,3,3
2026-01-26 12:58:15.996796,0x433abf20,13.26875,72.5,6.0,-75,1769461092,3,3
2026-01-26 12:58:45.731699,0x433b0b38,13.24875,75.0,5.75,-73,1769461122,5,5
2026-01-25 19:00:10.091298,0x433acb14,13.29625,126.25,2.75,-93,1769396408,3,3
2026-01-25 19:02:57.330138,0x433ad35c,13.285,65.0,6.25,-54,1769396575,3,3
2026-01-25 19:03:55.743783,0x433b0b38,13.26125,63.75,5.75,-74,1769396634,5,5
2026-01-25 19:04:02.569679,0x433abf20,13.26625,76.25,6.0,-76,1769396641,3,3
2026-01-25 19:05:10.943479,0x433acb14,13.315,72.5,3.0,-93,1769396709,3,3
2026-01-25 19:06:08.485662,0x433b0098,13.24875,60.0,6.25,-60,1769396767,2,2
2026-01-25 19:08:59.002432,0x433b0b38,13.26375,63.75,6.5,-73,1769396937,5,5
2026-01-25 19:09:03.383899,0x433abf20,13.27,65.0,6.25,-76,1769396941,3,3
2026-01-25 19:10:13.873176,0x433acb14,13.31375,78.75,3.0,-92,1769397012,3,3
2026-01-25 19:12:58.300391,0x433ad35c,13.28125,76.25,6.25,-53,1769397176,3,3
2026-01-25 19:14:00.193485,0x433b0b38,13.2625,65.0,5.5,-74,1769397238,5,5
2026-01-25 19:14:04.627748,0x433abf20,13.26625,88.75,5.5,-76,1769397243,3,3
2026-01-25 19:15:15.777484,0x433acb14,13.3175,63.75,3.25,-92,1769397314,3,3
2026-01-25 19:16:12.607771,0x433b0098,13.24375,75.0,6.5,-60,1769397371,2,2
2026-01-25 19:19:00.535665,0x433b0b38,13.26,75.0,6.75,-73,1769397539,5,5
2026-01-25 19:19:04.830158,0x433abf20,13.2675,77.5,6.0,-76,1769397543,3,3
2026-01-25 19:20:17.387837,0x433acb14,13.31125,75.0,3.25,-93,1769397615,3,3
2026-01-25 19:22:20.066755,0x433af380,13.20375,81.25,6.75,-38,1769397738,3,3
2026-01-25 19:23:01.411436,0x433ad35c,13.28,75.0,6.0,-54,1769397780,3,3
2026-01-25 19:24:00.149792,0x433b0b38,13.26125,63.75,6.0,-74,1769397838,5,5
2026-01-25 19:24:05.917405,0x433abf20,13.26625,78.75,5.5,-76,1769397844,3,3
2026-01-25 19:25:22.256241,0x433acb14,13.315,62.5,3.25,-93,1769397920,3,3
2026-01-25 19:26:13.669005,0x433b0098,13.25,62.5,6.25,-60,1769397972,2,2
2026-01-25 19:29:02.958927,0x433b0b38,13.25625,70.0,6.5,-73,1769398141,5,5
2026-01-25 19:29:06.122409,0x433abf20,13.25,123.75,5.25,-76,1769398144,3,3
2026-01-25 19:30:19.842162,0x433acb14,13.3125,73.75,3.5,-92,1769398218,3,3
2026-01-25 19:33:04.508328,0x433ad35c,13.2825,63.75,5.75,-53,1769398383,3,3
2026-01-25 19:34:02.731888,0x433b0b38,13.2625,60.0,6.0,-73,1769398441,5,5
2026-01-25 19:34:16.495855,0x433abf20,13.26375,78.75,5.75,-76,1769398455,3,3
2026-01-25 19:35:20.314978,0x433acb14,13.315,60.0,3.5,-93,1769398518,3,3
2026-01-25 19:36:14.735092,0x433b0098,13.245,75.0,6.0,-60,1769398573,2,2
2026-01-25 19:39:04.910838,0x433b0b38,13.26125,61.25,5.75,-73,1769398743,5,5
2026-01-25 19:39:08.490579,0x433abf20,13.2675,65.0,5.75,-76,1769398747,3,3
2026-01-25 19:40:22.721685,0x433acb14,13.31125,75.0,2.75,-93,1769398821,3,3
2026-01-25 19:43:06.880109,0x433ad35c,13.2725,65.0,6.25,-54,1769398985,3,3
2026-01-25 19:44:07.765960,0x433b0b38,13.26375,63.75,6.0,-74,1769399046,5,5
2026-01-25 19:44:11.481375,0x433abf20,13.27,57.5,5.0,-76,1769399050,3,3
2026-01-25 19:45:22.748776,0x433acb14,13.31375,60.0,2.5,-94,1769399121,3,3
2026-01-25 19:46:17.461054,0x433b0098,13.24625,62.5,6.0,-61,1769399176,2,2
2026-01-25 19:49:07.425629,0x433b0b38,13.26,62.5,5.75,-73,1769399345,5,5
2026-01-25 19:49:12.581125,0x433abf20,13.26875,63.75,6.0,-76,1769399351,3,3
2026-01-25 19:50:26.559940,0x433acb14,13.31375,67.5,3.5,-93,1769399425,3,3
